"Int_no","Rue_1","Rue_2","Arrondissement","X","Y"
1,"Charlevoix","Notre-Dame","Sud-Ouest",298885.28,5038083.29
2,"Docteur-Penfield","Peel","Ville-Marie",298588.54,5040384.56
3,"Borden","Somerled","Côte-des-Neiges - Notre-Dame-de-Grâce",294064.9,5036578.94
4,"Cavendish","Côte-Saint-Luc","Côte-des-Neiges - Notre-Dame-de-Grâce",293240.69,5036867.49
5,"Cavendish","Fielding","Côte-des-Neiges - Notre-Dame-de-Grâce",293705.38,5036607.52
6,"Cavendish","Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",294459.19,5036147.22
7,"Cavendish","Somerled","Côte-des-Neiges - Notre-Dame-de-Grâce",293990.38,5036449.02
8,"Cavendish","Terrebonne","Côte-des-Neiges - Notre-Dame-de-Grâce",294224.52,5036321.42
9,"Coronation","Côte-Saint-Luc","Côte-des-Neiges - Notre-Dame-de-Grâce",292805.38,5036240.3
10,"Côte-Saint-Luc","Ellerdale/Fielding","Côte-des-Neiges - Notre-Dame-de-Grâce",294122.34,5037438.12
11,"Côte-Saint-Luc","Grand Boulevard","Côte-des-Neiges - Notre-Dame-de-Grâce",293692.92,5037250.03
12,"Curatteau","Sherbrooke","Mercier - Hochelaga - Maisonneuve",301959.22,5050476
13,"Côte-Saint-Luc","Marcil/Somerled","Côte-des-Neiges - Notre-Dame-de-Grâce",294733.7,5037619.25
14,"Côte-Saint-Luc","Ashdale/Robert-Burns","Côte-des-Neiges - Notre-Dame-de-Grâce",292453.25,5035763.71
15,"Côte-Saint-Luc","Rosedale","Côte-des-Neiges - Notre-Dame-de-Grâce",292960.75,5036471.14
16,"Côte-Saint-Luc","Saint-Ignatius","Côte-des-Neiges - Notre-Dame-de-Grâce",292738.26,5036110.25
17,"Côte-Saint-Luc","Stratford/Wilson","Côte-des-Neiges - Notre-Dame-de-Grâce",294425.62,5037540.5
18,"Côte-Saint-Luc","Walkley","Côte-des-Neiges - Notre-Dame-de-Grâce",293095.66,5036682.86
19,"Côte-Saint-Luc","West Hill","Côte-des-Neiges - Notre-Dame-de-Grâce",293491.24,5037102.25
20,"Draper","Terrebonne","Côte-des-Neiges - Notre-Dame-de-Grâce",294736.07,5037133.62
21,"Fielding","Grand Boulevard","Côte-des-Neiges - Notre-Dame-de-Grâce",293923.16,5037104.07
22,"Grand Boulevard","Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",294741.1,5036593.1
23,"Grand Boulevard","Somerled","Côte-des-Neiges - Notre-Dame-de-Grâce",294278.24,5036881.77
24,"Grand Boulevard","Terrebonne","Côte-des-Neiges - Notre-Dame-de-Grâce",294498.35,5036742.79
25,"Monkland","Royal","Côte-des-Neiges - Notre-Dame-de-Grâce",294931.98,5036890.78
26,"Monkland","Wilson","Côte-des-Neiges - Notre-Dame-de-Grâce",295079.15,5037116.18
27,"Somerled","Walkley","Côte-des-Neiges - Notre-Dame-de-Grâce",293880.15,5036250.05
28,"Somerled","West Broadway","Côte-des-Neiges - Notre-Dame-de-Grâce",293420.1,5035415.51
29,"Addington","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",296109.89,5037011.43
30,"Beaconsfield","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",295751.57,5036046.1
31,"Benny","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",294890.32,5036115.82
32,"Botrel","Côte-Saint-Antoine","Côte-des-Neiges - Notre-Dame-de-Grâce",295867.85,5037259.61
33,"Botrel","Notre-Dame-de-Grâce","Côte-des-Neiges - Notre-Dame-de-Grâce",295708.02,5037364.35
34,"Botrel","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",296166.44,5037053
35,"Cavendish","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",295086.29,5035736.47
36,"Cavendish","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",294714.51,5035985.47
37,"Coronation","Monkland/Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",294091.53,5035536.08
38,"Côte-Saint-Antoine","Décarie","Côte-des-Neiges - Notre-Dame-de-Grâce",295944.68,5037381.98
39,"Côte-Saint-Antoine","Girouard","Côte-des-Neiges - Notre-Dame-de-Grâce",295784.48,5037126.03
40,"Côte-Saint-Antoine","Hampton/Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",295376.56,5036481
41,"Côte-Saint-Antoine","Marcil","Côte-des-Neiges - Notre-Dame-de-Grâce",295698.79,5036992.97
42,"Décarie","Maisonneuve / Upper Lachine","Côte-des-Neiges - Notre-Dame-de-Grâce",296534.95,5037001.42
43,"Décarie","Monkland inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",295451.72,5037697.5
44,"Décarie","Monkland inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",295398.72,5037615.5
45,"Décarie","Notre-Dame-de-Grâce","Côte-des-Neiges - Notre-Dame-de-Grâce",295784.25,5037485.7
46,"Décarie","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",296874.7,5036795.12
47,"Décarie","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",296291.12,5037159.6
48,"Elmhurst","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",293738.38,5035019.93
49,"Elmhurst","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",294066.94,5034838
50,"Girouard","Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",295287.25,5037445.34
51,"Girouard","Notre-Dame-de-Grâce","Côte-des-Neiges - Notre-Dame-de-Grâce",295621.01,5037231.26
52,"Girouard","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",296636.99,5036580.53
53,"Girouard","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",296044.39,5036962.39
54,"Girouard","Upper Lachine","Côte-des-Neiges - Notre-Dame-de-Grâce",296393.44,5036734.33
55,"Grand Boulevard","Notre-Dame-de-Grâce","Côte-des-Neiges - Notre-Dame-de-Grâce",295068.34,5036362.48
56,"Grand Boulevard","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",295150.98,5036309.93
57,"Madison","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",295524.94,5035913.5
58,"Maisonneuve","Marlowe","Côte-des-Neiges - Notre-Dame-de-Grâce",296627.62,5037110.45
59,"Maisonneuve","Vendôme","Côte-des-Neiges - Notre-Dame-de-Grâce",296677.48,5037171.84
60,"Marcil","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",295905.5,5036861.13
61,"Melrose","Upper Lachine","Côte-des-Neiges - Notre-Dame-de-Grâce",296067.52,5036393.01
62,"Sainte-Anne-de-Bellevue","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",294500.53,5035081
63,"Angrignon","Notre-Dame","Sud-Ouest",294966.42,5034744.51
64,"Notre-Dame-de-Grâce","Royal","Côte-des-Neiges - Notre-Dame-de-Grâce",295265.08,5036672.03
65,"Arthur-Léveillé","Louis-Hippolyte-La Fontaine","Rivières-des-Prairies - Pointe-aux-Trembles",297048.37,5053182.52
66,"Oxford","Upper Lachine","Côte-des-Neiges - Notre-Dame-de-Grâce",296231.74,5036562.27
67,"Rosedale","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",294327.5,5035695.92
68,"Saint-Jacques","6900 Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",294705.1,5035278.5
69,"Saint-Jacques","West Broadway","Côte-des-Neiges - Notre-Dame-de-Grâce",294302.67,5034936.45
