Int_no,Rue_1,Rue_2,Arrondissement,X,Y
281,Pins,University,Plateau Mont-Royal,298539.69,5040923.74
291,Aylmer,Sherbrooke,Plateau Mont-Royal,299128.08,5040697.57
309,Durocher,Milton,Plateau Mont-Royal,298961.13,5040924.57
310,Durocher,Prince-Arthur,Plateau Mont-Royal,298795.07,5041035.64
311,Durocher,Sherbrooke,Plateau Mont-Royal,299165.53,5040786.57
318,Hutchison,Milton,Plateau Mont-Royal,299002.42,5040994.57
320,Hutchison,Sherbrooke,Plateau Mont-Royal,299198.43,5040863.07
322,Jeanne-Mance,Milton,Plateau Mont-Royal,299095.12,5041146.07
324,Jeanne-Mance,Prince-Arthur,Plateau Mont-Royal,298938.12,5041248.57
326,Jeanne-Mance,Sherbrooke,Plateau Mont-Royal,299268.56,5041048.34
327,Lיo-Pariseau,Parc,Plateau Mont-Royal,298772.39,5041247.84
348,Milton,Parc,Plateau Mont-Royal,299043.12,5041066.07
349,Milton,Saint-Urbain,Plateau Mont-Royal,299220.02,5041309.57
350,Milton,University,Plateau Mont-Royal,298826.65,5040722.71
355,Parc,Prince-Arthur,Plateau Mont-Royal,298885.5,5041170.25
368,Saint-Laurent,Sherbrooke,Plateau Mont-Royal,299374.82,5041400.07
371,Saint-Urbain,Sherbrooke,Plateau Mont-Royal,299327.19,5041245.92
374,Sherbrooke,University,Plateau Mont-Royal,299057.68,5040563.95
375,Jeanne-Mance,Lיo-Pariseau,Plateau Mont-Royal,298819.95,5041327.34
477,Berri,Cherrier,Plateau Mont-Royal,299390.15,5042131.29
480,Berri,Roy,Plateau Mont-Royal,299202.15,5042259.09
482,Berri,Sherbrooke,Plateau Mont-Royal,299567.69,5042011.25
483,Cherrier / Montcalm,Sherbrooke,Plateau Mont-Royal,299662.25,5042518.52
484,Cherrier,Parc-La Fontaine,Plateau Mont-Royal,299596.74,5042446.51
485,Cherrier,Saint-Denis,Plateau Mont-Royal,299314,5042031.74
486,Cherrier,Saint-Hubert,Plateau Mont-Royal,299448.21,5042217.08
490,Hפtel-de-Ville,Pins,Plateau Mont-Royal,299054.01,5041887.08
500,Pins,Saint-Denis,Plateau Mont-Royal,299192.62,5042110.46
501,Rigaud,Saint-Denis,Plateau Mont-Royal,299433.2,5041952.5
502,Roy,Saint-Denis,Plateau Mont-Royal,299128.61,5042150.08
503,Roy,Saint-Hubert,Plateau Mont-Royal,299255.21,5042343.08
505,Saint-Andrי,Sherbrooke,Plateau Mont-Royal,299634.26,5042224.33
511,Saint-Hubert,Sherbrooke,Plateau Mont-Royal,299600.11,5042117.33
516,Bernard,Esplanade,Plateau Mont-Royal,296646.67,5042786.89
517,Bernard,Parc,Plateau Mont-Royal,296557.53,5042643.53
518,Bernard,Saint-Laurent,Plateau Mont-Royal,296812.86,5043053.83
519,Bernard,Saint-Urbain,Plateau Mont-Royal,296733.4,5042920.6
520,Bullion,Saint-Joseph,Plateau Mont-Royal,297771.61,5042670.12
522,Coloniale,Pins,Plateau Mont-Royal,298994.31,5041785.08
525,Duluth,Saint-Laurent,Plateau Mont-Royal,298597.71,5041897.08
526,Duluth,Saint-Urbain,Plateau Mont-Royal,298511.91,5041763.58
527,Fairmount,Parc,Plateau Mont-Royal,297176.04,5042282.41
528,Fairmount,Saint-Laurent,Plateau Mont-Royal,297410.91,5042666.58
529,Fairmount,Saint-Urbain,Plateau Mont-Royal,297331.95,5042533.35
530,Gaspי,Laurier,Plateau Mont-Royal,297673.91,5042772.08
531,Hפtel-de-Ville,Rachel,Plateau Mont-Royal,298550.78,5042214.9
532,Jeanne-Mance,Saint-Joseph,Plateau Mont-Royal,297476.55,5042205.26
533,Laurier,Parc,Plateau Mont-Royal,297315.21,5042193.57
534,Laurier,Saint-Laurent,Plateau Mont-Royal,297552.81,5042574.08
535,Laurier,Saint-Urbain,Plateau Mont-Royal,297466.94,5042443.1
536,Marie-Anne,Saint-Laurent,Plateau Mont-Royal,298233.91,5042129.58
537,Marie-Anne,Saint-Urbain,Plateau Mont-Royal,298147.07,5041998.82
538,Mont-Royal,Parc,Plateau Mont-Royal,297821.71,5041875.57
539,Mont-Royal,Saint-Laurent,Plateau Mont-Royal,298051.76,5042246.26
540,Mont-Royal,Saint-Urbain,Plateau Mont-Royal,297967.41,5042113.08
542,Parc,Saint-Joseph,Plateau Mont-Royal,297426.05,5042123.73
543,Parc,Saint-Viateur,Plateau Mont-Royal,296815.11,5042481.57
544,Parc,Van Horne,Plateau Mont-Royal,296190.97,5042876.5
545,Parc,Villeneuve,Plateau Mont-Royal,297579.91,5042027.57
546,Pins,Saint-Laurent,Plateau Mont-Royal,298931.61,5041683.08
547,Pins,Saint-Urbain,Plateau Mont-Royal,298850.72,5041546.07
548,Prince-Arthur,Saint-Laurent,Plateau Mont-Royal,299130.16,5041554.82
549,Prince-Arthur,Saint-Urbain,Plateau Mont-Royal,299047.52,5041419.07
550,Rachel,Saint-Laurent,Plateau Mont-Royal,298416.91,5042014.08
551,Rachel,Saint-Urbain,Plateau Mont-Royal,298330.75,5041882.26
552,Saint-Cuthbert,Saint-Urbain,Plateau Mont-Royal,298683.22,5041651.95
553,Saint-Joseph,Saint-Laurent,Plateau Mont-Royal,297663.25,5042499.29
554,Saint-Joseph,Saint-Urbain,Plateau Mont-Royal,297580.27,5042366.39
555,Saint-Laurent,Saint-Viateur,Plateau Mont-Royal,297074.38,5042882.04
556,Saint-Laurent,Villeneuve,Plateau Mont-Royal,297820.81,5042397.08
557,Saint-Urbain,3650,Plateau Mont-Royal,298947.94,5041483
558,Saint-Urbain,Saint-Viateur,Plateau Mont-Royal,296990.01,5042750.58
